Start Date,Start Time,End Date,End Time,User ID

04/18/2021,21:44:50,04/18/2021,21:44:57,4
04/18/2021,22:29:10,04/18/2021,22:29:19,4
04/19/2021,18:33:10,04/19/2021,18:33:34,1
04/19/2021,18:38:00,04/19/2021,18:38:08,1
04/20/2021,17:16:11,04/20/2021,17:16:19,1
04/20/2021,17:16:35,04/20/2021,17:16:43,4
04/20/2021,17:28:23,04/20/2021,17:28:35,1
04/20/2021,17:28:37,04/20/2021,17:28:43,1
04/20/2021,17:28:45,04/20/2021,17:28:48,1
04/20/2021,18:23:04,04/20/2021,18:23:08,6
04/20/2021,18:23:06,04/20/2021,18:23:13,2
04/20/2021,18:23:43,04/20/2021,18:23:59,3
04/20/2021,18:24:15,04/20/2021,18:24:20,5
